Vivado Simulator 2018.3
Time resolution is 1 ps
			            INPUTS                   EXPECTD OUTPUTS       REAL    OUTPUT  

			  OPCODE   DATA IN    ACCUM IN  |  ALU OUT   ZERO BIT |  ALU OUT   ZERO BIT
			  ------   --------   --------  |  --------  -------- |  --------  --------
initial test, reset enable, alu_out = 00000000
PASS ACCUM OPERATION:      000     11111001   00000100  |  00000100      0    |  00000100      0
ADD OPERATION       :      001     11111011   11111001  |  11110100      0    |  11110100      0
SUB OPERATION       :      010     00000101   00000101  |  00000000      0    |  00000000      0
AND OPERATION       :      011     11111010   11111101  |  11111000      0    |  11111000      0
XOR OPERATION       :      100     00000101   00000001  |  00000100      0    |  00000100      0
ABS OPERATION       :      101     00000101   00000110  |  00000110      0    |  00000110      0
MUL OPERATION       :      110     00000100   00000101  |  00010100      0    |  00010100      0
PASS DATA OPERATION :      111     11111110   00000001  |  11111110      0    |  11111110      0
UNKNOWN OPERATION   :      00x     11111110   00000001  |  00000000      0    |  00000000      0
ADD OPERATION       :      001     11111110   00000000  |  11111110      1    |  11111110      1
PASS ACCUM OPERATION:      000     11111010   11111101  |  11111101      0    |  11111101      0
ADD OPERATION       :      001     11111111   00000101  |  00000100      0    |  00000100      0
SUB OPERATION       :      010     00000111   11111010  |  11110011      0    |  11110011      0
AND OPERATION       :      011     11111110   00000010  |  00000010      0    |  00000010      0
XOR OPERATION       :      100     11111101   00000000  |  11111101      1    |  11111101      1
ABS OPERATION       :      101     11111101   00000100  |  00000100      0    |  00000100      0
MUL OPERATION       :      110     00001101   00001101  |  00001001      0    |  00001001      0
PASS DATA OPERATION :      111     00000010   11111011  |  00000010      0    |  00000010      0
UNKNOWN OPERATION   :      00x     00000010   11111011  |  00000000      0    |  00000000      0
ADD OPERATION       :      001     00000010   00000000  |  00000010      1    |  00000010      1
PASS ACCUM OPERATION:      000     00000000   00000000  |  00000000      1    |  00000000      1
ADD OPERATION       :      001     11111101   00000010  |  11111111      0    |  11111111      0
SUB OPERATION       :      010     11111011   11111110  |  00000011      0    |  00000011      0
AND OPERATION       :      011     11111011   11111101  |  11111001      0    |  11111001      0
XOR OPERATION       :      100     11111101   00000011  |  11111110      0    |  11111110      0
ABS OPERATION       :      101     11111110   11111010  |  00000110      0    |  00000110      0
MUL OPERATION       :      110     00001111   00000101  |  11111011      0    |  11111011      0
PASS DATA OPERATION :      111     00000010   00000011  |  00000010      0    |  00000010      0
UNKNOWN OPERATION   :      00x     00000010   00000011  |  00000000      0    |  00000000      0
ADD OPERATION       :      001     00000010   00000000  |  00000010      1    |  00000010      1
PASS ACCUM OPERATION:      000     11111100   11111010  |  11111010      0    |  11111010      0
ADD OPERATION       :      001     00000010   00000010  |  00000100      0    |  00000100      0
SUB OPERATION       :      010     00000000   00000001  |  00000001      0    |  00000001      0
AND OPERATION       :      011     11111001   00000000  |  00000000      1    |  00000000      1
XOR OPERATION       :      100     00000110   00000011  |  00000101      0    |  00000101      0
ABS OPERATION       :      101     00000110   00000110  |  00000110      0    |  00000110      0
MUL OPERATION       :      110     00000010   00001100  |  11111000      0    |  11111000      0
PASS DATA OPERATION :      111     11111001   11111011  |  11111001      0    |  11111001      0
UNKNOWN OPERATION   :      00x     11111001   11111011  |  00000000      0    |  00000000      0
ADD OPERATION       :      001     11111001   00000000  |  11111001      1    |  11111001      1

No errors were found!

$finish called at time : 855 ns : File "C:/Users/Sciencethebird/Desktop/DLab/Lab03/alu_test_demo.v" Line 111
